subject,trial,blink,pupil,IP_START_TIME,sample_message,TIMESTAMP,trial,time
BZ4min,1,0,919,175027414,NA,175027638,1,224
BZ4min,1,0,919,175027414,NA,175027640,1,226
BZ4min,1,0,918.5,175027414,NA,175027642,1,228
BZ4min,1,0,918,175027414,NA,175027644,1,230
BZ4min,1,0,915.5,175027414,NA,175027646,1,232
BZ4min,1,0,916,175027414,NA,175027648,1,234
BZ4min,1,0,915,175027414,NA,175027650,1,236
BZ4min,1,0,914.5,175027414,NA,175027652,1,238
BZ4min,1,0,914.5,175027414,NA,175027654,1,240
BZ4min,1,0,916,175027414,NA,175027656,1,242
BZ4min,1,0,920,175027414,NA,175027658,1,244
BZ4min,1,0,920,175027414,NA,175027660,1,246
BZ4min,1,0,918.5,175027414,NA,175027662,1,248
BZ4min,1,0,919,175027414,NA,175027664,1,250
BZ4min,1,0,920,175027414,NA,175027666,1,252
BZ4min,1,0,920,175027414,NA,175027668,1,254
BZ4min,1,0,921,175027414,NA,175027670,1,256
BZ4min,1,0,922,175027414,NA,175027672,1,258
BZ4min,1,0,921,175027414,NA,175027674,1,260
BZ4min,1,0,920,175027414,NA,175027676,1,262
BZ4min,1,0,920,175027414,NA,175027678,1,264
BZ4min,1,0,921.5,175027414,NA,175027680,1,266
BZ4min,1,0,922.5,175027414,NA,175027682,1,268
BZ4min,1,0,921,175027414,NA,175027684,1,270
BZ4min,1,0,920.5,175027414,NA,175027686,1,272
BZ4min,1,0,920.5,175027414,NA,175027688,1,274
BZ4min,1,0,919,175027414,NA,175027690,1,276
BZ4min,1,0,920,175027414,NA,175027692,1,278
BZ4min,1,0,919.5,175027414,NA,175027694,1,280
BZ4min,1,0,920,175027414,NA,175027696,1,282
BZ4min,1,0,919,175027414,NA,175027698,1,284
BZ4min,1,0,918.5,175027414,NA,175027700,1,286
BZ4min,1,0,917,175027414,NA,175027702,1,288
BZ4min,1,0,915.5,175027414,NA,175027704,1,290
BZ4min,1,0,916,175027414,NA,175027706,1,292
BZ4min,1,0,919.5,175027414,NA,175027708,1,294
BZ4min,1,0,921,175027414,NA,175027710,1,296
BZ4min,1,0,920,175027414,NA,175027712,1,298
BZ4min,1,0,917,175027414,NA,175027714,1,300
BZ4min,1,0,914.5,175027414,NA,175027716,1,302
BZ4min,1,0,914.5,175027414,NA,175027718,1,304
BZ4min,1,0,916,175027414,NA,175027720,1,306
BZ4min,1,0,914.5,175027414,NA,175027722,1,308
BZ4min,1,0,915,175027414,NA,175027724,1,310
BZ4min,1,0,915,175027414,NA,175027726,1,312
BZ4min,1,0,917.5,175027414,NA,175027728,1,314
BZ4min,1,0,918,175027414,NA,175027730,1,316
BZ4min,1,0,918,175027414,NA,175027732,1,318
BZ4min,1,0,918,175027414,NA,175027734,1,320
BZ4min,1,0,914,175027414,NA,175027736,1,322
BZ4min,1,0,911,175027414,NA,175027738,1,324
BZ4min,1,0,912,175027414,NA,175027740,1,326
BZ4min,1,0,910.5,175027414,NA,175027742,1,328
BZ4min,1,0,910.5,175027414,NA,175027744,1,330
BZ4min,1,0,912,175027414,NA,175027746,1,332
BZ4min,1,0,911.5,175027414,NA,175027748,1,334
BZ4min,1,0,912,175027414,NA,175027750,1,336
BZ4min,1,0,911.5,175027414,NA,175027752,1,338
BZ4min,1,0,912,175027414,NA,175027754,1,340
BZ4min,1,0,914.5,175027414,NA,175027756,1,342
BZ4min,1,0,915,175027414,NA,175027758,1,344
BZ4min,1,0,914,175027414,NA,175027760,1,346
BZ4min,1,0,911,175027414,NA,175027762,1,348
BZ4min,1,0,910.5,175027414,NA,175027764,1,350
BZ4min,1,0,908.5,175027414,NA,175027766,1,352
BZ4min,1,0,908.5,175027414,NA,175027768,1,354
BZ4min,1,0,910.5,175027414,NA,175027770,1,356
BZ4min,1,0,910,175027414,NA,175027772,1,358
